Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Contact Email,Phone Number,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Total Funding Amount
Wellist,https://www.crunchbase.com/organization/wellist,"Health Care, Health Diagnostics, Medical","Boston, Massachusetts, United States",Wellist gives healthcare clients the insights and tools they need to address actual human needs.,"1,183",https://get.wellist.com/,,support@wellist.com,(855)935-5478,Ashley Reid,11-50,3,Early Stage Venture,2018-05-08,"$10,000,000","$13,740,000"
Citizen,https://www.crunchbase.com/organization/citizen-d7ce,"Apps, Internet, Public Safety","New York, New York, United States","The Citizen app empowers people with information to help keep their families, communities, and cities safe. ","1,471",http://www.citizen.com,https://www.linkedin.com/company/11108263/,info@citizen.com,,"Andrew Frame, JD Maresco, Luis Samaniego",11-50,2,Early Stage Venture,2017-09-19,"$12,000,000","$13,000,000"
Vettery,https://www.crunchbase.com/organization/vettery,"Internet, Recruiting, Software","New York, New York, United States",Vettery is the trusted hiring marketplace that connects top talent with growing companies.,"1,626",http://www.vettery.com,https://www.linkedin.com/company/vettery,connect@vettery.com,,"Adam Goldstein, Brett Adcock",11-50,3,M&A,2016-08-16,"$9,000,000","$11,925,000"
Teachable,https://www.crunchbase.com/organization/fedora,"E-Commerce Platforms, EdTech, Education","New York, New York, United States",Teachable is a venture-backed company that makes it easy to teach and sell courses from your own website.,"1,638",https://teachable.com/,https://www.linkedin.com/company/fedora,contact@teachable.com,,"Ankur Nagpal, Conrad Wadowski",11-50,5,Early Stage Venture,2018-04-16,"$4,000,000","$12,500,000"
CB Insights,https://www.crunchbase.com/organization/cb-insights,"Analytics, Angel Investment, Database, Venture Capital","New York, New York, United States",CB Insights builts software that predicts what the next technology trend will be.,"1,741",http://cbinsights.com,https://www.linkedin.com/company/cb-insights,info@cbinsights.com,212 292 3148,"Anand Sanwal, Jonathan Sherry",11-50,3,Early Stage Venture,2015-09-01,"$10,000,000","$11,650,000"
Body Labs,https://www.crunchbase.com/organization/body-labs,"3D Technology, Artificial Intelligence, Computer Vision, Developer APIs, Machine Learning","New York, New York, United States",Body Labs provides human-aware AI that understands the way we move and how we’re shaped to make our world more personal.,"1,784",https://www.bodylabs.com,https://www.linkedin.com/company/body-labs,info@bodylabs.com,,"Alex Weiss, Bill O'Farrell, Eric Rachlin, Michael Black",11-50,2,M&A,2015-11-03,"$11,000,000","$13,200,000"
Knock,https://www.crunchbase.com/organization/knockaway,"Marketplace, Property Management, Real Estate","New York, New York, United States",Knock makes buying or selling a home simple and certain. ,"1,786",https://www.knock.com,https://www.linkedin.com/company/knock.com,info@knock.com,470-485-6625,"Jamie Glenn, Karan Sakhuja, Sean Black",11-50,3,Early Stage Venture,2017-01-31,"$32,500,000","$34,500,000"
Moltin,https://www.crunchbase.com/organization/moltin,"E-Commerce, PaaS, SaaS","Boston, Massachusetts, United States","The API-based commerce solution that makes it simple, flexible and fast to bring commerce experiences to life.","1,792",https://moltin.com,http://www.linkedin.com/company/3113165,support@moltin.com,,"Adam Sturrock, Chris Harvey, Chris Roach, Jamie Holdroyd",11-50,5,Early Stage Venture,2018-02-27,"$8,000,000","$10,322,186"
SidelineSwap,https://www.crunchbase.com/organization/sidelineswap,"Marketplace, Retail, Sporting Goods","Boston, Massachusetts, United States","SidelineSwap operates an online marketplace to buy, sell, and trade sporting goods. ","1,813",https://sidelineswap.com,https://www.linkedin.com/company/sidelineswap-inc-,founders@sidelineswap.com,,"Anthony Piazza, Brendan Candon, Conor McDonough, Eric Carlstrom, Nick Gantsoudes",11-50,6,Early Stage Venture,2018-04-24,"$5,000,000","$8,966,500"
The Farmer's Dog,https://www.crunchbase.com/organization/the-farmer-s-dog,"E-Commerce, Personalization, Subscription Service","New York, New York, United States","The Farmer's Dog makes balanced and freshly made pet food, personalized for your dog and delivered to your door.","1,816",https://thefarmersdog.com,,help@thefarmersdog.com,+1 (646) 780-7957,"Brett Podolsky, Jonathan Regev",1-10,2,Early Stage Venture,2017-05-18,"$8,100,000","$10,100,000"
Roomi ,https://www.crunchbase.com/organization/roomi,"Android, Apps, iOS, Location Based Services, Mobile, Real Estate","New York, New York, United States","Roomi is a free mobile platform that helps people find flexible, affordable co-living solutions.  ","1,838",http://roomiapp.com,https://www.linkedin.com/company/roomi/,hello@roomiapp.com,,Ajay Yadav,11-50,7,Early Stage Venture,2017-11-14,"$11,000,000","$16,960,000"
Ellevest,https://www.crunchbase.com/organization/ellevest,"Financial Services, Impact Investing, Women's","New York, New York, United States",Ellevest offers digital investment advice for women.,"1,894",https://www.ellevest.com,https://www.linkedin.com/company/10208395,press@ellevest.com,+1 (844) 355-7100,"Charlie Kroll, Sallie Krawcheck",11-50,2,Early Stage Venture,2017-09-18,"$34,600,000","$44,600,000"
Resy,https://www.crunchbase.com/organization/resy-network,"Apps, Hospitality, Reservations, Restaurants, SaaS","New York, New York, United States",Resy is a mobile app for people who love eating at great restaurants but hate hassling for reservations.,"1,973",http://resy.com/,http://www.linkedin.com/company/resy-network-inc,info@resy.com,,"Ben Leventhal, Gary Vaynerchuk, Michael Montero",11-50,2,Early Stage Venture,2017-01-09,"$13,000,000","$15,000,000"
Cover,https://www.crunchbase.com/organization/pay-with-cover,"E-Commerce, Mobile Payments, Restaurants","New York, New York, United States","Cover offers a mobile payments app for restaurants, that automatically splits the bill and leaves a tip.","2,035",http://www.paywithcover.com,https://www.linkedin.com/company/cover-inc-,info@paywithcover.com,,"Andrew Cove, Mark Egerman",11-50,2,M&A,2014-07-10,"$5,500,000","$7,000,000"
Imagen Technologies,https://www.crunchbase.com/organization/imagentechnologies,"Health Care, Health Diagnostics, Hospital","New York, New York, United States",Imagine a world where all patients are diagnosed instantly by leading experts.,"2,061",https://www.imagentechnologies.com/,,info@imagentechnologies.com,,"Alex Dresner, Rob Lindsey, Sumit Chopra, Tom Hotchkiss",11-50,2,Early Stage Venture,2017-03-15,"$15,000,000","$20,600,000"
ClimaCell Inc.,https://www.crunchbase.com/organization/climacell,"Big Data, Environmental Consulting, Software","Boston, Massachusetts, United States",ClimaCell Inc.is  a weather tech company that creates new ways to sense the weather. ,"2,069",https://www.climacell.co/,https://www.linkedin.com/company/climacell,info@climacell.co,,"Itai Zlotnik, Rei Goffer, Shimon Elkabetz",11-50,4,Early Stage Venture,2018-01-18,,"$19,950,000"
Candid,https://www.crunchbase.com/organization/candid-4,"Beauty, Dental, Personal Health","New York, New York, United States",Candid helps people get the smile they've always wanted at a price they can afford.,"2,122",https://www.candidco.com/,https://www.linkedin.com/company/11212406/,support@candidco.com,+118442956915,"Bobby Ghoshal, Nick Greenfield",1-10,2,Early Stage Venture,2017-11-21,"$15,000,000","$15,000,000"
Dispatch,https://www.crunchbase.com/organization/dispatch-2,"Developer APIs, Enterprise Software, SaaS","Boston, Massachusetts, United States",Dispatch is the operating system that empowers modern service experiences for the world’s largest service brands. ,"2,167",https://www.dispatch.me,https://www.linkedin.com/company/dispatch-me,,(617)580-0607,"Alex Beletsky, Avi Goldberg, Eliran Sapir, James Yaakov Zar",11-50,3,Early Stage Venture,2017-06-14,"$12,000,000","$18,100,000"
Slice Labs,https://www.crunchbase.com/organization/slice-labs,"FinTech, Information Technology, Insurance, InsurTech, Mobile Apps","New York, New York, United States",On-demand insurance for the on-demand economy.,"2,209",http://www.slice.is/,https://www.linkedin.com/company/10368001?trk=prof-exp-company-name,INFO@SLICE.IS,(212)380-1849,"Ernest Hursh, Stuart Baserman, Tim Attia",11-50,2,Early Stage Venture,2017-10-05,"$11,600,000","$15,500,000"
Neurala,https://www.crunchbase.com/organization/neurala,"Artificial Intelligence, Drones, Machine Learning, Robotics, Software","Boston, Massachusetts, United States",Neurala is the deep learning neural network software company behind The Neurala Brain.,"2,239",http://www.neurala.com,https://www.linkedin.com/company/neurala,info@neurala.com,617-418-6161,"Anatoli Gorchetchnikov, Heather Ames, Massimiliano Versace",11-50,4,Early Stage Venture,2017-01-17,"$14,000,000","$15,200,000"
Tidelift,https://www.crunchbase.com/organization/tidelift,Software,"Boston, Massachusetts, United States",Making open source software work better—for everyone.,"2,241",https://tidelift.com/,https://www.linkedin.com/company/tidelift/,,,"Donald Fischer, Havoc Pennington, Jeremy  Katz, Luis  Villa",11-50,1,Early Stage Venture,2018-05-22,"$15,000,000","$15,000,000"
Fatherly,https://www.crunchbase.com/organization/fatherly,"Digital Media, E-Commerce, Social Media, Social Network","New York, New York, United States","Fatherly is the leading digital media brand for dads. Fatherly focuses on expert-driven, evidence-based content.","2,342",http://www.fatherly.com,https://www.linkedin.com/company/fatherly,hello@fatherly.com,,"Michael Rothman, Simon Isaacs",11-50,3,Early Stage Venture,2017-10-27,,"$6,000,000"
Hinge,https://www.crunchbase.com/organization/hinge,"Android, Dating, Internet, Mobile, Social Media","New York, New York, United States",Hinge is a social discovery network helping users meet new people through friends.,"2,400",http://hinge.co,https://www.linkedin.com/company/hinge-app/,hello@hinge.co,,Justin McLeod,11-50,4,Early Stage Venture,2014-12-11,"$12,000,000","$20,600,000"
Meural,https://www.crunchbase.com/organization/meural,"Art, Electronics, Hardware, Home Decor, Internet of Things, Software","New York, New York, United States",Meural builds a beautiful digital canvas.,"2,624",http://meural.com/,https://www.linkedin.com/company/meural,info@meural.com,(888) 706-3872,"Jerry Hu, Vladimir Vukicevic",11-50,4,Early Stage Venture,2017-11-16,"$5,000,000","$9,250,000"
Cedar,https://www.crunchbase.com/organization/cedar-0db2,"Health Care, Information Technology","New York, New York, United States","Cedar provides a smarter way for hospitals, health systems and medical groups to manage the patient payment ecosystem. ","2,663",http://www.cedar.com,https://www.linkedin.com/company/10988174/,contact@cedar.com,917-470-9995,"Arel Lidow, Florian Otto",11-50,1,Early Stage Venture,2017-12-07,"$13,000,000","$13,000,000"
Rockets of Awesome,https://www.crunchbase.com/organization/rockets-of-awesome,"Children, E-Commerce, Personalization, Retail, Retail Technology","New York, New York, United States","Rockets of Awesome reinvents the way parents shop for kids by leveraging technology, data, brand, personalization, and merchandise.","2,703",https://www.rocketsofawesome.com/,https://www.linkedin.com/company/10785898?trk=prof-exp-company-name,help@rocketsofawesome.com,1(844)606-3363,Rachel Blumenthal,11-50,2,Early Stage Venture,2017-01-03,"$12,500,000","$19,500,000"
Packet,https://www.crunchbase.com/organization/packet-host,"Cloud Infrastructure, Developer Platform, Information Services, Information Technology, Web Hosting","New York, New York, United States",Packet is a bare metal cloud built for developers.,"2,751",https://www.packet.net,https://www.linkedin.com/company/packet-host,help@packet.net,(212) 933-9785,"Aaron Welch, Jacob Smith, Zachary Smith",11-50,4,Early Stage Venture,2016-08-12,"$9,417,845","$11,567,845"
LeafLink,https://www.crunchbase.com/organization/leaflink,"B2B, SaaS, Supply Chain Management, Wholesale","New York, New York, United States","As the industry standard wholesale management platform for the cannabis industry, LeafLink connects cannabis brands & retailers. ","2,761",http://leaflink.com/,https://www.linkedin.com/company/leaflink,info@leaflink.com,+1 (855) 273-6769 ,"Ryan Smith, Zach Silverman",11-50,6,Early Stage Venture,2017-11-20,"$10,000,000","$14,000,000"
"ICX Media, Inc.",https://www.crunchbase.com/organization/icx-media-inc,"Content, Digital Media, Marketplace","Washington, District of Columbia, United States","Data analytics platform and marketplace that connects creators to opportunities across web, mobile and connected TV channels and apps","2,825",http://www.icxmedia.com,https://www.linkedin.com/company/icx-media-inc,info@icxmedia.com,(202)688-5943,"Joey McCord, Michael Avon, Steven McCord, Tom MacIsaac",11-50,4,Early Stage Venture,2017-10-12,"$6,600,000","$12,100,000"
Babyscripts,https://www.crunchbase.com/organization/1eq,"Child Care, Health Care, mHealth, Mobile Apps","Washington, District of Columbia, United States",An Enhanced Approach to Prenatal Care,"2,865",http://www.getbabyscripts.com,https://www.linkedin.com/company/1eq?trk=ppro_cprof,info@getbabyscripts.com,(202)868-6979,"Anish Sebastian, Juan Pablo Segura",11-50,5,Early Stage Venture,2017-07-20,"$7,695,112","$9,795,112"
SALIDO,https://www.crunchbase.com/organization/salido,"Big Data, CRM, Hospitality, Mobile, Software, Supply Chain Management","New York, New York, United States","SALIDO is working with hospitality operators, developing a single platform for their restaurant operations.","2,902",http://salido.com,http://www.linkedin.com/company/salido,team@salido.com, +1 646-844-7809,"Casey Cohen, David Guilfoyle, Matthew Gaines, Shu Chowdhury",11-50,3,Early Stage Venture,2018-05-09,"$12,000,000","$16,000,000"
Parsley Health,https://www.crunchbase.com/organization/parsley-health,"Health Care, Health Diagnostics, Medical","New York, New York, United States","Parsley Health is redesigning primary care by integrating the latest in medical testing, technology and nutrition research. ","2,966",https://parsleyhealth.com/,https://www.linkedin.com/company/parsley-health/,hello@parsleyhealth.com,833-447-2775,Robin Berzin,11-50,3,Early Stage Venture,2018-04-17,"$10,000,000","$10,000,000"
SEVENROOMS,https://www.crunchbase.com/organization/seven-rooms,"Enterprise Software, Hospitality, Hotel, Nightlife, Reservations, Restaurants, SaaS, Software","New York, New York, United States","A reservation, seating and guest management platform for hospitality operators. ","2,985",http://www.sevenrooms.com,https://www.linkedin.com/company/sevenrooms/,sales@sevenrooms.com,+1 212-242-5607,"Allison Page, Joel Montaniel, Kinesh Patel",11-50,6,Early Stage Venture,2017-12-12,"$8,000,000","$16,370,000"
Canvs,https://www.crunchbase.com/organization/mashwork,"Analytics, Social Media, Software","New York, New York, United States","Canvs offers an emotion analytics tool that can read, interpret, and categorize Emotional Reactions (ERs) in dialogue.","2,990",http://www.canvs.tv,https://www.linkedin.com/company/1865146,marketing@canvs.tv,,"Jared Feldman, Sam Hui",11-50,4,Early Stage Venture,2017-03-07,,"$7,100,000"
Electric (Electric AI),https://www.crunchbase.com/organization/electric,"Information Technology, Machine Learning, Small and Medium Businesses","New York, New York, United States",Electric is the world’s first all-in-one IT support solution for small and midsize offices delivered in real-time.,"3,068",http://www.electric.ai,https://www.linkedin.com/company/electric-ai/,,646-555-1212,Ryan Denehy,11-50,3,Early Stage Venture,2018-03-28,"$9,250,000","$12,250,000"
Dreams,https://www.crunchbase.com/organization/dreams-4,Media and Entertainment,"New York, New York, United States",Dreams: TV for your phone,"3,083",http://drms.tv,https://www.linkedin.com/company-beta/15222723,contact@drms.tv,,"Gregor Hochmuth, Tom Bender",1-10,1,Early Stage Venture,2018-05-15,"$5,000,000","$5,000,000"
Timescale,https://www.crunchbase.com/organization/timescaledb,"Computer, Database, Software","New York, New York, United States",TimescaleDB is an open-source time-series database optimized for fast ingest and complex queries.,"3,095",http://www.timescale.com/,https://www.linkedin.com/company/11065434/,hello@timescale.com,,"Ajay Kulkarni, Michael Freedman",11-50,2,Early Stage Venture,2018-01-24,"$12,400,000","$16,100,000"
"Estimote, Inc.",https://www.crunchbase.com/organization/estimote,"Analytics, Big Data, Indoor Positioning, Internet of Things, Location Based Services, Mobile, Retail Technology, Sensor","New York, New York, United States","Estimote is a technology start-up, building a sensor-based context and micro-location platform for mobile developers","3,148",http://www.estimote.com,http://www.linkedin.com/company/estimote-inc-,contact@estimote.com,,"Jakub Krzych, Lukasz Kostka, Steve Cheney",11-50,3,Early Stage Venture,2016-01-15,"$10,700,000","$13,920,000"
Circulation,https://www.crunchbase.com/organization/circulation,Transportation,"Boston, Massachusetts, United States",Circulation is the pioneer in on-demand non-emergency healthcare transportation.,"3,171",https://circulation.com/,https://www.linkedin.com/company-beta/15189565/,info@circulation.com,,"Jared Hawkins, John Brownstein, Robin Heffernan",1-10,1,Early Stage Venture,2017-07-25,"$10,500,000","$10,500,000"
Burrow,https://www.crunchbase.com/organization/hiburrow,"Direct Sales, Furniture, Home Decor","New York, New York, United States",Burrow sells luxury furniture for real life. Their first product is a modular sofa sold through their innovative eCommerce experience.,"3,290",https://burrow.com/,https://www.linkedin.com/company/hi-burrow/,support@burrow.com,,"Kabeer Chopra, Stephen Kuhl",11-50,3,Early Stage Venture,2018-03-21,"$14,000,000","$19,220,000"
Ollie,https://www.crunchbase.com/organization/ollie,"Animal Feed, Marketplace, Pet","New York, New York, United States","Ollie delivers freshly made dog food from real, human-grade ingredients your dog loves to eat, delivered to your door.","3,359",http://www.myollie.com,,info@myollie.com,+18448865543,"Alexandre Douzet, Gabby Slome",11-50,2,Early Stage Venture,2017-08-18,"$12,600,000","$17,000,000"
Tentrr,https://www.crunchbase.com/organization/tentrr,"Outdoors, Tourism, Travel","New York, New York, United States",Tentrr is an online discovery platform for the outdoors.,"3,415",https://www.tentrr.com,https://www.linkedin.com/company/tentrr/,hello@tentrr.com,,Michael D'Agostino,11-50,3,Early Stage Venture,2018-04-11,"$8,000,000","$12,650,000"
Artivest,https://www.crunchbase.com/organization/artivest,"Financial Services, FinTech, Impact Investing, Wealth Management","New York, New York, United States",Artivest connects a wider audience of suitable investors with investment opportunities in top-quality private equity.,"3,540",http://www.artivest.co,http://www.linkedin.com/company/2908752,inquiries@artivest.co,+2129510027,James Waldinger,11-50,3,Early Stage Venture,2015-05-04,"$15,000,000","$17,000,000"
Kolide,https://www.crunchbase.com/organization/kolide,"Cyber Security, Database, Enterprise Software, Infrastructure","Boston, Massachusetts, United States",Kolide is a host monitoring platform that enables its users to detect and minimize security threats.,"3,588",https://kolide.com,https://www.linkedin.com/company/kolide-inc./,hello@kolide.com,,"Jason Meller, Mike Arpaia, Zach Wasserman",11-50,2,Early Stage Venture,2018-04-16,"$8,000,000","$9,600,000"
Anchor,https://www.crunchbase.com/organization/anchor-fm,"Apps, Audio, Broadcasting, Internet, Podcast","New York, New York, United States",Anchor is a fast-rising podcast app that layers community features on top of audio streaming.,"3,627",https://anchor.fm/,https://www.linkedin.com/company/anchor-fm,support@anchor.fm,,"Michael Mignano, Nir Zicherman",11-50,4,Early Stage Venture,2017-09-28,"$10,000,000","$14,400,000"
Aquicore,https://www.crunchbase.com/organization/aquicore,"Energy Efficiency, Energy Management, Enterprise Software, Internet of Things, SaaS, Software","Washington, District of Columbia, United States","Aquicore, Inc. provides an analytics software platform for energy efficiency management. Its platform offers solutions in the areas of","3,675",http://aquicore.com,http://www.linkedin.com/company/aquicore,info@aquicore.com,1(202) 446-0246,Logan Soya,11-50,5,Early Stage Venture,2016-06-08,"$5,000,000","$18,172,500"
Siemplify,https://www.crunchbase.com/organization/siemplify,"Analytics, Cyber Security, Network Security, Security","New York, New York, United States","Siemplify ThreatNexus is the first, comprehensive, Security Orchestration platform for today's enterprise and MSSPs.","3,747",http://www.siemplify.co,https://www.linkedin.com/company/siemplify,contact@siemplify.co,1.877.487.7222,"Alon Cohen, Amos Stern, Garry Fatakhov",11-50,4,Early Stage Venture,2016-11-15,"$10,000,000","$14,000,000"
"IrisVR, Inc.",https://www.crunchbase.com/organization/irisvr-inc,"3D Technology, Architecture, Construction, Virtual Reality","New York, New York, United States","IrisVR allows users to create, edit, share, and visualize 3D models in virtual reality.","3,857",http://www.irisvr.com,https://www.linkedin.com/company/irisvr-inc-,,(646)876-0335,"Nate Beatty, Shane Scranton",11-50,4,Early Stage Venture,2016-10-25,"$8,000,000","$9,725,000"
TrueMotion,https://www.crunchbase.com/organization/censio,"Automotive, Computer Vision, Mobile Devices","Boston, Massachusetts, United States","Safer driving, powered by your smartphone.","3,862",http://www.goTrueMotion.com,https://www.linkedin.com/company/censio-inc-,hi@goTrueMotion.com,(617)433-8413,"Brad Cordova, Joe Adelmann, Scott Griffith",11-50,1,Early Stage Venture,2015-10-06,"$10,000,000","$10,000,000"
Hexadite,https://www.crunchbase.com/organization/hexadite,"Computer, Cyber Security, Network Security, Security","Boston, Massachusetts, United States",Hexadite solves the cybersecurity capacity problem with the first agentless intelligent security automation and orchestration platform.,"4,009",http://www.hexadite.com/,http://www.linkedin.com/company/hexadite-ltd,Contact@hexadite.com,(617)342-7163,"Barak Klinghofer, Eran Barak, Idan Levin",11-50,2,M&A,2016-02-10,"$8,000,000","$10,500,000"
Jetty,https://www.crunchbase.com/organization/jetty-2,"Consumer Software, Insurance, Property Insurance","New York, New York, United States","Jetty is a new kind of financial services company that empowers modern consumers to access the home, career & life they’re working hard for.","4,011",http://www.jetty.com,https://www.linkedin.com/company/jetty.,hello@jetty.com,,"Luke Cohler, Michael Rudoy",11-50,2,Early Stage Venture,2017-08-08,"$11,500,000","$15,500,000"
Honcker,https://www.crunchbase.com/organization/honcker,"Automotive, Car Sharing, Marketplace","New York, New York, United States",Honcker is a mobile app where you can lease a car in three easy swipes. ,"4,143",http://www.honcker.com/,https://www.linkedin.com/company/honcker/,info@honcker.com,,"Amir Lahav, Nathan Hecht, Zorah Anapolsky",1-10,2,Early Stage Venture,2018-02-22,"$23,000,000","$26,600,000"
Sure,https://www.crunchbase.com/organization/sure-inc,"Insurance, Internet, Mobile Apps, Software","New York, New York, United States",Sure is the newest innovation in personal insurance. We're launching on-demand insurance worldwide in 2016.,"4,158",http://www.sureapp.com/,https://www.linkedin.com/company/sure-insurance,,,Wayne Slavin,11-50,3,Early Stage Venture,2017-06-14,"$8,000,000","$10,600,000"
SquareFoot,https://www.crunchbase.com/organization/thesquarefoot,"Commercial Real Estate, Real Estate, Rental, Rental Property","New York, New York, United States",SquareFoot provides online search and concierge services for businesses to relocate and expand.,"4,183",http://www.squarefoot.com,https://www.linkedin.com/company/squarefoot-/,help@thesquarefoot.com,(646)665-1873,"Aron Susman, Jonathan Wasserstrum, Justin Lee",11-50,5,Early Stage Venture,2018-04-18,"$7,000,000","$13,365,000"
Gro Intelligence,https://www.crunchbase.com/organization/gro-intelligence,"Agriculture, Big Data, Data Visualization","New York, New York, United States","Gro is a mission-driven Big Data/SaaS company, creating a more connected, efficient, and productive global agriculture industry.","4,184",http://www.gro-intelligence.com,https://www.linkedin.com/company/3035148,support@gro-intelligence.com,718 935 0100,Sara Menker,11-50,2,Early Stage Venture,2017-07-24,"$17,400,000","$20,900,000"
SelfMade,https://www.crunchbase.com/organization/selfmade,Internet,"New York, New York, United States","SelfMade uses technology to connect members with professional image editors, allowing them to build a powerful brand at an affordable price.","4,185",http://www.selfmade.co/,https://www.linkedin.com/company/10564532/,,,"Brian Schechter, Zach Lloyd",11-50,2,Early Stage Venture,2017-10-17,"$8,000,000","$11,000,000"
Maven Clinic,https://www.crunchbase.com/organization/maven-clinic,"Apps, Health Care","New York, New York, United States",Maven is a digital clinic that enables women to book video appointments with its network of health practitioners.,"4,275",http://www.mavenclinic.com,https://www.linkedin.com/company/maven-,hello@mavenclinic.com,,Katherine Ryder,11-50,3,Early Stage Venture,2017-07-25,"$10,800,000","$15,300,000"
Union Kitchen,https://www.crunchbase.com/organization/union-kitchen-3ec5,"Finance, Financial Services, Food and Beverage","Washington, District of Columbia, United States",Food Accelerator,"4,298",http://unionkitchendc.com,https://www.linkedin.com/company/union-kitchen-dc/,info@unionkitchendc.com,,Cullen Gilchrist,11-50,1,Early Stage Venture,2014-12-31,"$1,000,000","$1,000,000"
Boatsetter,https://www.crunchbase.com/organization/boatsetter,"Adventure Travel, Collaborative Consumption, Tourism, Travel","Miami, Florida, United States","Boatsetter is the #1 boat rental community connecting boat owners, boat captains and anyone who seeks a water-ful experience.","4,327",https://www.boatsetter.com/,https://www.linkedin.com/company/boatsetter,contact@boatsetter.com,(305)900-2703,"Andrew Sturner, Andrew Sturner, Jaclyn Baumgarten, Marc Billings",11-50,4,Early Stage Venture,2017-08-17,,"$13,700,000"
Brooklinen,https://www.crunchbase.com/organization/brooklinen,"Fashion, Lifestyle, Service Industry","New York, New York, United States",Brooklinen is a manufacturer and supplier of sheets and pillows.,"4,355",https://www.brooklinen.com,,business@brooklinen.com,646-798-7447,"Rich Fulop, Vicki Fulop",11-50,2,Early Stage Venture,2017-03-16,"$10,000,000","$10,020,000"
